date,org,repo,forks,stars,commits,collaborators
2024-02-01,usdot-fhwa-stol,WxDE,0,0,231,5
2024-02-01,usdot-fhwa-stol,carma-cloud,14,20,286,10
2024-02-01,usdot-fhwa-stol,carma-platform,119,381,7635,37
2024-02-01,usdot-fhwa-stol,CARMAConcept,0,2,8,3
2024-02-01,usdot-fhwa-stol,carma-msgs,9,5,1267,30
2024-02-01,usdot-fhwa-stol,carma-utils,6,2,943,28
2024-02-01,usdot-fhwa-stol,carma-torc-pinpoint-driver,1,0,666,20
2024-02-01,usdot-fhwa-stol,carma-torc-xgv-controller-driver,0,1,185,10
2024-02-01,usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,1,0,638,11
2024-02-01,usdot-fhwa-stol,carma-freightliner-2012-controller-driver,0,0,193,9
2024-02-01,usdot-fhwa-stol,carma-cohda-dsrc-driver,10,11,753,24
2024-02-01,usdot-fhwa-stol,carma-web-ui,5,4,1337,24
2024-02-01,usdot-fhwa-stol,carma-delphi-esr-driver,3,4,569,19
2024-02-01,usdot-fhwa-stol,carma-delphi-srr2-driver,1,0,152,12
2024-02-01,usdot-fhwa-stol,carma-vehicle-model-framework,4,5,159,14
2024-02-01,usdot-fhwa-stol,carma-velodyne-lidar-driver,3,0,238,19
2024-02-01,usdot-fhwa-stol,carma-ssc-interface-wrapper,7,0,364,20
2024-02-01,usdot-fhwa-stol,carma-base,7,1,324,23
2024-02-01,usdot-fhwa-stol,carma-config,12,2,683,27
2024-02-01,usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,3,1,170,15
2024-02-01,usdot-fhwa-stol,carma-messenger,11,14,567,23
2024-02-01,usdot-fhwa-stol,carma-1-tenth,6,13,8,3
2024-02-01,usdot-fhwa-stol,carma-lightbar-driver,1,1,144,14
2024-02-01,usdot-fhwa-stol,carma-rtk,0,0,1,1
2024-02-01,usdot-fhwa-stol,cdasim,13,28,639,17
2024-02-01,usdot-fhwa-stol,ads-traffic-regs,0,2,1,1
2024-02-01,usdot-fhwa-stol,cav-education,4,3,120,6
2024-02-01,usdot-fhwa-stol,carma-analytics-fotda,2,2,85,8
2024-02-01,usdot-fhwa-stol,carma-validation,1,0,52,3
2024-02-01,usdot-fhwa-stol,carma-streets,10,7,451,11
2024-02-01,usdot-fhwa-stol,c1t_vesc_driver,0,0,15,2
2024-02-01,usdot-fhwa-stol,c1t_razor_imu_m0_driver,1,0,9,2
2024-02-01,usdot-fhwa-stol,c1t_rplidar_driver,0,0,7,2
2024-02-01,usdot-fhwa-stol,c1t_zed_driver,0,0,7,2
2024-02-01,usdot-fhwa-stol,carma-mobileye-driver,0,0,4,2
2024-02-01,usdot-fhwa-stol,autoware.auto,3,2,1495,57
2024-02-01,usdot-fhwa-stol,tim-bc,0,0,98,5
2024-02-01,usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,0,1,54,8
2024-02-01,usdot-fhwa-stol,voices-cda-use-case-scenario-database,0,0,6,3
2024-02-01,usdot-fhwa-stol,voices-poc,0,0,372,12
2024-02-01,usdot-fhwa-stol,testing-training-tools,0,0,1,1
2024-02-01,usdot-fhwa-stol,cda-telematics,0,0,364,9
2024-02-01,usdot-fhwa-stol,carma-carla-integration,2,2,259,11
2024-02-01,usdot-fhwa-stol,github_metrics,1,0,310,6
2024-02-01,usdot-fhwa-stol,devops,1,1,34,4
2024-02-01,usdot-fhwa-stol,documentation,0,0,1,1
2024-02-01,usdot-fhwa-stol,dwm1001_ros2,3,1,11,1
2024-02-01,usdot-fhwa-stol,c1t-tools,0,0,3,1
2024-02-01,usdot-fhwa-stol,multiple_object_tracking,4,2,61,5
2024-02-01,usdot-fhwa-stol,c1t2x-emulator,0,0,10,3
2024-02-01,usdot-fhwa-stol,carma-builds,1,0,49,4
2024-02-01,usdot-fhwa-stol,.github,1,0,6,1
2024-02-01,usdot-fhwa-stol,carma-j2735,0,0,7,1
2024-02-01,usdot-fhwa-stol,snmp-client,0,2,14,1
2024-02-01,usdot-fhwa-stol,actions,0,0,39,4
2024-02-01,usdot-fhwa-stol,carma-time-lib,1,0,36,6
2024-02-01,usdot-fhwa-stol,cavams,0,0,1,0
2024-02-01,usdot-fhwa-stol,carma-ns3-adapter,1,0,35,7
2024-02-01,usdot-fhwa-stol,voices-common-interface,0,0,1,1
2024-02-01,usdot-fhwa-stol,ns3-federate,0,0,64,3
2024-02-01,usdot-fhwa-stol,ns-3_c-v2x,1,0,13720,152
2024-02-01,usdot-fhwa-stol,carma-geodetic-lib,0,0,2,2
2024-02-01,usdot-fhwa-stol,carma-slamtec-lidar-driver,0,0,6,2
2024-02-01,usdot-fhwa-stol,scenario-runner,0,0,14,4
2024-02-01,usdot-fhwa-stol,carma-vesc-ssc-wrapper,0,0,1,1
2024-02-01,usdot-fhwa-stol,evc-sumo,0,0,43,5
2024-02-01,usdot-fhwa-stol,carla-sensor-lib,1,0,46,6
