date,org,repo,forks,stars,commits,collaborators
2024-05-01,usdot-fhwa-stol,WxDE,0,0,231,5
2024-05-01,usdot-fhwa-stol,carma-cloud,15,21,286,10
2024-05-01,usdot-fhwa-stol,carma-platform,121,391,7694,38
2024-05-01,usdot-fhwa-stol,CARMAConcept,0,2,8,3
2024-05-01,usdot-fhwa-stol,carma-msgs,9,5,1286,31
2024-05-01,usdot-fhwa-stol,carma-utils,5,2,955,28
2024-05-01,usdot-fhwa-stol,carma-torc-pinpoint-driver,1,0,674,21
2024-05-01,usdot-fhwa-stol,carma-torc-xgv-controller-driver,0,1,185,10
2024-05-01,usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,1,0,638,11
2024-05-01,usdot-fhwa-stol,carma-freightliner-2012-controller-driver,0,0,193,9
2024-05-01,usdot-fhwa-stol,carma-cohda-dsrc-driver,10,11,762,26
2024-05-01,usdot-fhwa-stol,carma-web-ui,4,4,1351,25
2024-05-01,usdot-fhwa-stol,carma-delphi-esr-driver,2,4,569,19
2024-05-01,usdot-fhwa-stol,carma-delphi-srr2-driver,0,0,152,12
2024-05-01,usdot-fhwa-stol,carma-vehicle-model-framework,3,5,165,16
2024-05-01,usdot-fhwa-stol,carma-velodyne-lidar-driver,2,0,259,21
2024-05-01,usdot-fhwa-stol,carma-ssc-interface-wrapper,6,1,377,21
2024-05-01,usdot-fhwa-stol,carma-base,6,1,327,23
2024-05-01,usdot-fhwa-stol,carma-config,11,4,721,28
2024-05-01,usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2,1,181,17
2024-05-01,usdot-fhwa-stol,carma-messenger,10,14,586,25
2024-05-01,usdot-fhwa-stol,carma-1-tenth,6,13,8,3
2024-05-01,usdot-fhwa-stol,carma-lightbar-driver,1,1,157,16
2024-05-01,usdot-fhwa-stol,carma-rtk,0,0,1,1
2024-05-01,usdot-fhwa-stol,cdasim,13,33,656,18
2024-05-01,usdot-fhwa-stol,ads-traffic-regs,0,2,1,1
2024-05-01,usdot-fhwa-stol,cav-education,4,3,120,6
2024-05-01,usdot-fhwa-stol,carma-analytics-fotda,3,3,155,11
2024-05-01,usdot-fhwa-stol,carma-validation,1,0,52,3
2024-05-01,usdot-fhwa-stol,carma-streets,10,9,465,12
2024-05-01,usdot-fhwa-stol,c1t_vesc_driver,0,0,15,2
2024-05-01,usdot-fhwa-stol,c1t_razor_imu_m0_driver,1,0,9,2
2024-05-01,usdot-fhwa-stol,c1t_rplidar_driver,0,0,7,2
2024-05-01,usdot-fhwa-stol,c1t_zed_driver,0,0,7,2
2024-05-01,usdot-fhwa-stol,carma-mobileye-driver,0,0,4,2
2024-05-01,usdot-fhwa-stol,autoware.auto,3,3,1522,60
2024-05-01,usdot-fhwa-stol,tim-bc,0,0,98,5
2024-05-01,usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,0,1,68,11
2024-05-01,usdot-fhwa-stol,voices-cda-use-case-scenario-database,0,0,6,3
2024-05-01,usdot-fhwa-stol,voices-poc,1,0,372,12
2024-05-01,usdot-fhwa-stol,testing-training-tools,0,0,1,1
2024-05-01,usdot-fhwa-stol,cda-telematics,1,1,383,9
2024-05-01,usdot-fhwa-stol,carma-carla-integration,2,2,272,11
2024-05-01,usdot-fhwa-stol,github_metrics,1,0,318,6
2024-05-01,usdot-fhwa-stol,devops,1,1,35,5
2024-05-01,usdot-fhwa-stol,documentation,0,0,1,1
2024-05-01,usdot-fhwa-stol,dwm1001_ros2,3,1,11,1
2024-05-01,usdot-fhwa-stol,c1t-tools,0,0,3,1
2024-05-01,usdot-fhwa-stol,multiple_object_tracking,4,2,67,6
2024-05-01,usdot-fhwa-stol,c1t2x-emulator,0,0,10,3
2024-05-01,usdot-fhwa-stol,carma-builds,1,0,51,5
2024-05-01,usdot-fhwa-stol,.github,1,0,6,1
2024-05-01,usdot-fhwa-stol,carma-j2735,0,0,7,1
2024-05-01,usdot-fhwa-stol,snmp-client,0,2,14,1
2024-05-01,usdot-fhwa-stol,actions,0,0,51,6
2024-05-01,usdot-fhwa-stol,carma-time-lib,2,0,40,7
2024-05-01,usdot-fhwa-stol,cavams,0,0,1,0
2024-05-01,usdot-fhwa-stol,carma-ns3-adapter,2,0,57,7
2024-05-01,usdot-fhwa-stol,voices-common-interface,0,0,1,1
2024-05-01,usdot-fhwa-stol,ns3-federate,0,0,72,4
2024-05-01,usdot-fhwa-stol,ns-3_c-v2x,1,0,13720,152
2024-05-01,usdot-fhwa-stol,carma-geodetic-lib,0,0,2,2
2024-05-01,usdot-fhwa-stol,carma-slamtec-lidar-driver,0,0,6,2
2024-05-01,usdot-fhwa-stol,scenario-runner,0,0,19,4
2024-05-01,usdot-fhwa-stol,carma-vesc-ssc-wrapper,0,0,1,1
2024-05-01,usdot-fhwa-stol,carla-sensor-lib,1,0,53,6
2024-05-01,usdot-fhwa-stol,cave-lite,0,0,35,1
2024-05-01,usdot-fhwa-stol,j2735decoder,0,1,6,1
2024-05-01,usdot-fhwa-stol,Stol-scratchpad,0,0,11,1
2024-05-01,usdot-fhwa-stol,c1t_bringup,0,0,8,2
2024-05-01,usdot-fhwa-stol,connectedvcs-tools,0,0,16,2
2024-05-01,usdot-fhwa-stol,navigation2_extensions,0,0,3,1
2024-05-01,usdot-fhwa-stol,twist_to_ackermann,0,0,4,1
