count,org,repo,week,additions,deletions,commits,author,is a member
1,usdot-fhwa-stol,WxDE,2015-05-10,1,0,1,TonysCousin,yes
1,usdot-fhwa-stol,WxDE,2015-06-21,1,0,1,TonysCousin,yes
1,usdot-fhwa-stol,WxDE,2015-09-20,9,3,1,jeffreyschultz,no
1,usdot-fhwa-stol,WxDE,2015-10-04,359,3,2,jeffreyschultz,no
1,usdot-fhwa-stol,WxDE,2015-10-11,75,28,4,jeffreyschultz,no
1,usdot-fhwa-stol,WxDE,2015-10-25,10,10,2,jeffreyschultz,no
1,usdot-fhwa-stol,WxDE,2015-11-01,10,79,2,jeffreyschultz,no
1,usdot-fhwa-stol,WxDE,2015-11-15,10,3,1,jeffreyschultz,no
1,usdot-fhwa-stol,WxDE,2015-12-06,154,149,5,jeffreyschultz,no
1,usdot-fhwa-stol,WxDE,2015-12-13,4746,666,4,jeffreyschultz,no
1,usdot-fhwa-stol,WxDE,2015-12-20,56,20,1,jeffreyschultz,no
1,usdot-fhwa-stol,WxDE,2016-05-01,6,8,2,jeffreyschultz,no
1,usdot-fhwa-stol,WxDE,2015-09-13,248,1,3,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2015-10-04,730,1,1,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2015-10-11,72,12,2,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2015-11-01,44,0,1,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2015-12-06,515,475,3,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2015-12-13,413,4203,2,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-01-10,187,139,1,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-02-14,22,0,1,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-02-21,796,760,1,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-02-28,283,557,3,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-03-27,133,236,1,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-04-03,593,4838,1,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-04-10,47515,222,2,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-05-01,45499,44223,1,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-05-22,152,70,1,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-05-29,879,17,3,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-06-19,6042,3459,2,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-07-10,102,541,1,kruegersp,yes
1,usdot-fhwa-stol,WxDE,2016-05-15,519,201,1,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2016-05-29,893,101,1,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2016-06-12,1379,538,1,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2016-06-19,598,454,1,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2016-07-10,853,2580,1,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2016-07-31,5301,74,1,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2016-09-25,2752,353,1,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2017-12-03,376,234,12,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2018-01-07,4,1,1,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2020-11-08,408,115,14,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2021-01-17,99,100,1,cherneysp,yes
1,usdot-fhwa-stol,WxDE,2016-10-02,36,20,1,langesp,no
1,usdot-fhwa-stol,WxDE,2016-10-09,198,144,2,langesp,no
1,usdot-fhwa-stol,WxDE,2016-10-16,39,12,2,langesp,no
1,usdot-fhwa-stol,WxDE,2016-10-23,79,13,3,langesp,no
1,usdot-fhwa-stol,WxDE,2016-11-06,112,23,2,langesp,no
1,usdot-fhwa-stol,WxDE,2017-03-26,1817,542,11,langesp,no
1,usdot-fhwa-stol,WxDE,2017-04-16,469,430,2,langesp,no
1,usdot-fhwa-stol,WxDE,2017-04-23,43,12,3,langesp,no
1,usdot-fhwa-stol,WxDE,2017-05-21,614,3,3,langesp,no
1,usdot-fhwa-stol,WxDE,2017-06-18,1412,10335,4,langesp,no
1,usdot-fhwa-stol,WxDE,2017-06-25,15,7,3,langesp,no
1,usdot-fhwa-stol,WxDE,2017-07-09,214,29,8,langesp,no
1,usdot-fhwa-stol,WxDE,2017-07-30,1,1,1,langesp,no
1,usdot-fhwa-stol,WxDE,2017-08-06,47,25,3,langesp,no
1,usdot-fhwa-stol,WxDE,2017-08-13,247,94,4,langesp,no
1,usdot-fhwa-stol,WxDE,2017-08-20,283,72,2,langesp,no
1,usdot-fhwa-stol,WxDE,2017-09-03,3,3,2,langesp,no
1,usdot-fhwa-stol,WxDE,2017-10-01,8,2,1,langesp,no
1,usdot-fhwa-stol,WxDE,2017-10-08,1232,7,5,langesp,no
1,usdot-fhwa-stol,WxDE,2017-10-15,4,1,2,langesp,no
1,usdot-fhwa-stol,WxDE,2017-10-22,132,79,5,langesp,no
1,usdot-fhwa-stol,WxDE,2017-10-29,532,727,4,langesp,no
1,usdot-fhwa-stol,WxDE,2017-11-05,4,5,1,langesp,no
1,usdot-fhwa-stol,WxDE,2017-11-12,11,1,1,langesp,no
1,usdot-fhwa-stol,WxDE,2017-12-24,20,6,1,langesp,no
1,usdot-fhwa-stol,WxDE,2018-01-28,21,9,1,langesp,no
1,usdot-fhwa-stol,WxDE,2018-03-04,873,1665,1,langesp,no
1,usdot-fhwa-stol,WxDE,2018-04-08,782,344,1,langesp,no
1,usdot-fhwa-stol,WxDE,2018-09-23,1148,1129,1,langesp,no
1,usdot-fhwa-stol,WxDE,2019-08-11,156,156,1,langesp,no
1,usdot-fhwa-stol,WxDE,2019-09-01,102,102,1,langesp,no
1,usdot-fhwa-stol,WxDE,2019-12-15,6,0,1,langesp,no
1,usdot-fhwa-stol,WxDE,2020-03-01,240,0,1,langesp,no
2,usdot-fhwa-stol,carma-cloud,2022-10-09,2567,0,1,codygarver,yes
2,usdot-fhwa-stol,carma-cloud,2018-10-07,1,0,1,darrelld05,no
2,usdot-fhwa-stol,carma-cloud,2022-04-10,2,2,2,snallamothu,yes
2,usdot-fhwa-stol,carma-cloud,2020-04-12,56,56,2,jtbaird,no
2,usdot-fhwa-stol,carma-cloud,2022-07-10,4,0,1,SaikrishnaBairamoni,yes
2,usdot-fhwa-stol,carma-cloud,2022-10-09,2567,0,1,SaikrishnaBairamoni,yes
2,usdot-fhwa-stol,carma-cloud,2022-10-16,1,1,1,SaikrishnaBairamoni,yes
2,usdot-fhwa-stol,carma-cloud,2021-02-14,1,1,1,cherneysp,yes
2,usdot-fhwa-stol,carma-cloud,2021-03-21,32897,28616,4,cherneysp,yes
2,usdot-fhwa-stol,carma-cloud,2021-04-18,6874,1145,1,cherneysp,yes
2,usdot-fhwa-stol,carma-cloud,2021-05-02,1,0,1,cherneysp,yes
2,usdot-fhwa-stol,carma-cloud,2021-05-30,717,122,1,cherneysp,yes
2,usdot-fhwa-stol,carma-cloud,2021-07-04,1127,68,1,cherneysp,yes
2,usdot-fhwa-stol,carma-cloud,2021-07-25,56,12,1,cherneysp,yes
