date,org,repo,forks,stars,commits,collaborators
2023-08-01,usdot-jpo-ode,jpo-ode,41,73,3491,24
2023-08-01,usdot-jpo-ode,jpo-cvdp,11,14,442,10
2023-08-01,usdot-jpo-ode,jpo-s3-deposit,4,4,142,14
2023-08-01,usdot-jpo-ode,jpo-security,3,4,43,4
2023-08-01,usdot-jpo-ode,usdot-jpo-ode.github.io,0,2,17,4
2023-08-01,usdot-jpo-ode,asn1_codec,16,11,270,11
2023-08-01,usdot-jpo-ode,jpo-tim-builder,4,4,65,3
2023-08-01,usdot-jpo-ode,jpo-security-svcs,3,3,70,11
2023-08-01,usdot-jpo-ode,jpo-ode-scms-asn,0,0,332,4
2023-08-01,usdot-jpo-ode,scms-asn1,2,2,4,1
2023-08-01,usdot-jpo-ode,wzdx,59,78,1602,17
2023-08-01,usdot-jpo-ode,jpo-record-parser,0,0,3,2
2023-08-01,usdot-jpo-ode,jpo-sdw-depositor,6,3,135,14
2023-08-01,usdot-jpo-ode,ode-output-validator-library,7,2,208,7
2023-08-01,usdot-jpo-ode,wzdc-tool,0,1,4,3
2023-08-01,usdot-jpo-ode,TDx,1,3,11,2
2023-08-01,usdot-jpo-ode,jpo-geojsonconverter,4,3,174,8
2023-08-01,usdot-jpo-ode,jpo-conflictmonitor,1,0,281,5
2023-08-01,usdot-jpo-ode,jpo-conflictvisualizer,0,0,159,3
2023-08-01,usdot-jpo-ode,jpo-cvmanager,4,2,163,5
